REAL_ESTATE_ADDRESS,REAL_ESTATE_ID,PA_SUITE,PA_HOUSE_NUMBER,PA_STREET_NAME,PA_ASSESSED_VALUE,PA_ACCOUNT_NUMBER,PA_LATITUDE,PA_LONGITUDE,Acres,Latitude,Longitude,Bathrooms,Bedrooms,Beds Above Grade,Condo Fee,Construction – Wood Frame,Construction – Concrete,Construction – Concrete Block,Construction – Insulated Concrete,Construction – Modular,Construction – Prefab,Construction – Steel Frame,Ensuite,Exposure – North,Exposure – Northwest,Exposure – West,Exposure – Southwest,Exposure – South,Exposure – Southeast,Exposure – East,Exposure – Northeast,Fireplace,Foundation – Concrete,Foundation – Block,Foundation – Brick/Stone/Block,Foundation – Concrete Slab,Foundation – Grade Beam,Foundation – Piling,Foundation – Preserved Wood,Foundation – Other or NaN,Full Baths,HOA Fees,HOA Fees Freq.,Half Baths,Has Basement,Has Pool,Heating – Forced Air-1,Heating – Forced Air-2,Heating – Baseboard,Heating – Fan Coil,Heating – Gravity,Heating – Heat Pump,Heating – Hot Water,Heating – In Floor Heat System,Heating – Other and NaN,Is Waterfront,Parking Spaces,Roof – Asphalt Shingles,Roof – Cedar Shakes,Roof – Clay Tile,Roof – Concrete Tiles,Roof – EPDM Membrane,Roof – Fiberglass,Roof – Metal,Roof – Pine Shakes,Roof – Roll Roofing,Roof – Tar & Gravel,Roof – Vinyl Shingles,Roof – Wood Shingles,Roof – Other or NaN,Square Footage,Style - 1 and Half Storey,Style - 2 and Half Storey,Style - 2 Storey,Style - 2 Storey Split,Style - 3 Level Split,Style - 3 Storey,Style - 4 Level Split,Style - 5 Level Split,Style - Back Split,Style – Bi-Level,Style – Bungalow,Style - Bungalow Semi,Style - Hillside Bungalow,Style – Loft,Style - Modular Home,Style - Multi Level Apartment,Style – NaN,Style - Not Applicable,Style – Penthouse,Style - Raised Bungalow,Style - Single Level Apartment,Style - Studio Suite,Sub-Type – 4Plex,Sub-Type - Apartment High Rise,Sub-Type – Carriage,Sub-Type - Detached Condominium,Sub-Type - Duplex Side By Side,Sub-Type - Duplex Up And Down,Sub-Type - Half Duplex,Sub-Type - Lowrise Apartment,Sub-Type - Residential Attached,Sub-Type - Residential Detached Single Family,Sub-Type - Single Wide,Sub-Type - Stacked Townhouse,Sub-Type – Townhouse,Sub-Type – Tri-Plex,Sub-Type - Vacant Lot,Type – Condo/Townhouse,Type – Single Family,Year Built,Price,Police_Station,Catholic_School,Public_School,Bus_Stop,Playground,Public_Library,Recreation_Centre,Fire_Station
13302 113a STREET,402,,13302,113A STREET NW,183500,9997660,53.5940932,-113.5171228,0.06,53.5934587,-113.5169883,2,2,2,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1962,186400,1743,887,1037,263,924,1656,1032,2605
8910 144 AVENUE,403,,8910,144 AVENUE NW,159000,6598965,53.60639191,-113.478219,0.04,53.6062201,-113.4784286,1,2,NaN,298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,501,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1974,179000,3494,785,782,348,1030,2971,2522,2822
16 14215 82 STREET,404,16,14215,82 STREET NW,163500,6688592,53.60530726,-113.465772,0.04,53.605098,-113.46578,1,3,3,241,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,869,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1971,165000,3692,835,681,420,646,1615,1647,1466
156 roseland VILLAGE,405,,156,ROSELAND VILLAGE NW,177000,3136470,53.60363836,-113.4746809,0.06,53.60363836,-113.4746809,2,3,3,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1969,164888,4095,395,271,14,345,2371,979,2222
9 14115 82 STREET,406,9,14115,82 STREET NW,154000,6689038,53.60530726,-113.465772,0.04,53.604478,-113.465901,1,2,2,256,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1971,160000,3692,835,681,420,646,1615,1647,1466
1 8115 144 AVENUE,407,1,8115,144 AVENUE NW,149500,6687115,53.60530726,-113.465772,0.04,53.6066869,-113.4663911,1,2,2,255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,685,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1971,152999,3692,835,681,420,646,1615,1647,1466
42 13435 97 STREET,408,42,13435,97 STREET NW,142500,3022712,53.59544235,-113.4910696,0.01,53.595483,-113.49111,1,2,2,394,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1969,147500,3944,1203,316,298,734,3885,1245,1661
11933 95 STREET,409,,11933,95 STREET NW,129000,6096507,53.57291816,-113.4868901,0,53.5729498,-113.4870964,2,5,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1049,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,447000,3065,1340,1111,362,327,746,969,1666
12122 101 STREET,410,,12122,101 STREET NW,322000,6188007,53.57586093,-113.4942436,0.09,53.575852,-113.494048,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,444900,3530,1134,1205,194,273,1494,186,1322
12124 101 STREET,411,NaN,NaN,NaN,NaN,NaN,53.5759305,-113.4937356,0.09,53.5759305,-113.4937356,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,444900,3550,1197,1268,125,219,1440,131,1248
11429 118a STREET,412,,11429,118A STREET NW,388500,9941666,53.56486538,-113.5257565,0.09,53.564858,-113.5258891,2,3,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1997,439999,3384,2225,1060,669,890,2951,2676,3206
11617 93 STREET,413,,11617,93 STREET NW,174500,4138806,53.56793104,-113.4837793,0.09,53.567927,-113.483667,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1457,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,424900,2703,1099,1042,250,145,387,1477,913
9211 123 AVENUE,414,,9211,123 AVENUE NW,418500,6063804,53.57814379,-113.4838239,0.12,53.577599,-113.5067981,4,4,4,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1916,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,419999,4285,1099,665,450,669,1624,1064,1541
11910 93 STREET,415,,11910,93 STREET NW,408000,6104608,53.57227962,-113.4846752,0.09,53.5722735,-113.4844906,4,5,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1767,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2010,418500,3090,1367,1067,320,162,771,1000,1594
11204 94 STREET,416,,11204,94 STREET NW,408500,10173177,53.56119692,-113.4860686,0.1,53.5612026,-113.485907,4,4,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2009,409500,1770,1216,264,125,280,693,939,526
11821 94 STREET,417,,11821,94 STREET NW,409500,6102503,53.57108287,-113.4853423,0.09,53.57108,-113.485515,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1767,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2010,399900,2957,1234,1200,187,95,638,1068,1461
11343 105 STREET,418,,11343,105 STREET NW,381500,3120508,53.56406656,-113.5005922,0.16,53.5641608,-113.5010955,3,3,2,NaN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1956,399900,2237,566,495,268,631,1150,1942,1637
1 12042 101 STREET,419,NaN,NaN,NaN,NaN,NaN,53.5748436,-113.4940268,0,53.5748436,-113.4940268,3,1,1,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1516,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,399900,3430,1076,1148,246,98,1320,10,1369
2 12042 101 STREET,420,NaN,NaN,NaN,NaN,NaN,53.5748436,-113.4940268,0,53.5748436,-113.4940268,3,1,1,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1516,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,399900,3430,1076,1148,246,98,1320,10,1369
11403 106 STREET,421,,11403,106 STREET NW,400500,3157633,53.56456827,-113.5023891,0.18,53.564556,-113.502636,3,5,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1954,389900,2450,698,627,211,763,1282,1700,1770
11415 111a AVENUE,422,,11415,111A AVENUE NW,367000,3392107,53.55964767,-113.5181105,0.13,53.5598982,-113.518133,2,5,3,NaN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1242,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1952,387500,1816,847,1352,234,509,2456,1723,2717
12309 102 STREET,423,NaN,NaN,NaN,NaN,NaN,53.5785372,-113.4955216,0,53.5785372,-113.4955216,3,3,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,384900,3955,1399,1470,295,485,1846,544,1129
12307 102 STREET,424,NaN,NaN,NaN,NaN,NaN,53.578596,-113.494891,0.17,53.578596,-113.494891,3,3,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1950,384900,3902,1438,1509,303,509,1792,490,1076
10053 114 AVENUE,425,NaN,NaN,NaN,NaN,NaN,53.5642128,-113.5179335,0,53.5642128,-113.5179335,2,3,3,NaN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1188,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,379900,2091,1694,1531,97,280,2705,1759,2938
11302 105 STREET,426,,11302,105 STREET NW,347000,3157609,53.56287116,-113.5016072,0.16,53.562871,-113.501343,2,3,2,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1949,374900,2066,805,734,146,870,1388,1973,1535
11325 103 STREET,427,,11325,103 STREET NW,326500,3057304,53.56352527,-113.4968677,0.14,53.563518,-113.497094,3,4,2,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1951,359900,2227,375,303,285,439,959,1750,1290
12244 94 STREET,428,,12244,94 STREET NW,279500,6035349,53.57789804,-113.4862272,0.13,53.577895,-113.486384,2,5,3,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1031,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1953,359900,3619,1330,840,220,531,1300,835,1363
12408 94 STREET,429,,12408,94 STREET NW,300500,6049365,53.58014455,-113.4862331,0.14,53.580153,-113.4860877,3,2,2,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1052,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1951,349900,4264,1144,1090,469,495,1549,1039,1176
12241 102 STREET,430,,12241,102 STREET NW,326000,6176408,53.57798043,-113.4950256,0.11,53.577978,-113.495261,2,4,2,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1952,345000,3835,1370,1441,235,483,1726,422,1079
11615 111 AVENUE,431,,11615,111 AVENUE NW,353000,3462405,53.55845324,-113.5222074,0.17,53.558346,-113.522208,2,4,3,NaN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1951,339900,2078,981,1536,432,568,2630,1915,2790
65 9535 217 STREET nw,432,NaN,NaN,NaN,NaN,NaN,53.5339874,-113.6910673,0,53.5339874,-113.6910673,3,3,3,135,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2015,337500,6232,5733,204,1003,63,2508,7355,5746
2 11917 93 STREET,433,NaN,NaN,NaN,NaN,NaN,53.572457,-113.483989,0,53.572457,-113.483989,3,2,2,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,307000,3165,1441,1010,395,131,846,1073,1625
11634 95 STREET,434,,11634,95 STREET NW,205000,4070207,53.56810043,-113.4876476,0.09,53.5680971,-113.4872569,1,2,2,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,944,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1945,295000,2530,823,766,158,350,211,1349,1235
12230 101 STREET,435,,12230,101 STREET NW,348500,6177000,53.57780189,-113.4942434,0.11,53.577793,-113.494025,1,2,2,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1953,294878,3816,1350,1421,215,464,1706,402,1099
11425 95a STREET,436,,11425,95A STREET NW,226000,4074704,53.56502532,-113.4882509,0.09,53.5649011,-113.4871715,2,4,4,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2051,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1910,290000,2385,676,619,194,16,257,1541,1088
11624 96 STREET,437,,11624,96 STREET NW,194000,4027603,53.56808624,-113.4906364,0.09,53.5680838,-113.4905185,2,2,2,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1914,289000,2680,672,615,289,500,361,1198,1381
11124 97 STREET,438,,11124,97 STREET NW,239000,4003604,53.55981744,-113.4923516,0.11,53.5598146,-113.4921765,1,1,1,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1928,285000,1625,914,417,187,519,1133,1508,1008
11417 102 STREET,439,,11417,102 STREET NW,267500,3024601,53.56495078,-113.4950283,0.14,53.564939,-113.49528,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1943,275000,2262,219,162,164,284,683,1471,1513
11511 97 STREET,440,,11511,97 STREET NW,231000,4028700,53.56618836,-113.4912606,0,53.566181,-113.491462,1,3,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1930,269000,2510,412,355,251,337,391,1188,1222
12037 94 STREET,441,,12037,94 STREET NW,269000,6112551,53.57430435,-113.4853439,0.09,53.574306,-113.485551,2,3,2,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1953,269000,3315,1614,855,440,387,996,1054,1723
11238 97 STREET,442,,11238,97 STREET NW,217000,4006300,53.56220332,-113.4923758,0.1,53.5622029,-113.492144,1,2,2,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1918,255000,1890,644,574,138,511,862,1512,1009
102 12110 106 AVENUE,443,102,12110,106 AVENUE NW,212500,10027168,53.55017251,-113.5313516,0.01,53.550073,-113.531152,1,2,2,372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2004,249500,1910,1783,1179,109,626,2550,779,1201
11708 92 STREET nw,444,,11708,92 STREET NW,210000,4143905,53.56910996,-113.4831461,0.09,53.569102,-113.483245,1,2,2,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1933,242500,2837,1099,1087,257,15,518,1450,994
