NAME,LATITUDE,LONGITUDE,LOCATION
St. Phillip/Kinsman,53.6091239046429,-113.475416519617,"(53.6091239046429, -113.475416519617)"
"W.C. ""Tubby"" Bateman Park",53.5232082441874,-113.480235660041,"(53.5232082441874, -113.480235660041)"
Montrose Community League,53.572464229727,-113.432870665308,"(53.572464229727, -113.432870665308)"
Woodcroft Playground,53.5649988499212,-113.561878138397,"(53.5649988499212, -113.561878138397)"
Wedgewood Heights,53.4801514235607,-113.647151570026,"(53.4801514235607, -113.647151570026)"
Malmo Plains School,53.4852152930688,-113.530228488327,"(53.4852152930688, -113.530228488327)"
Glendale School,53.5366244429708,-113.600490729898,"(53.5366244429708, -113.600490729898)"
Secord Playground,53.5334309060095,-113.691524660279,"(53.5334309060095, -113.691524660279)"
Emily Murphy Park,53.5341652169767,-113.538733200659,"(53.5341652169767, -113.538733200659)"
Winterburn School Playground,53.5340929302775,-113.687538964491,"(53.5340929302775, -113.687538964491)"
Cumberland Park,53.6109090158929,-113.544772170923,"(53.6109090158929, -113.544772170923)"
Malcolm Tweddle School,53.476746352298,-113.457027275063,"(53.476746352298, -113.457027275063)"
Ottewell Community League,53.5307263529717,-113.424173892771,"(53.5307263529717, -113.424173892771)"
Charles Simmonds Park,53.5155815222148,-113.531032146586,"(53.5155815222148, -113.531032146586)"
Laurier Park Playground,53.5094455144621,-113.553262862526,"(53.5094455144621, -113.553262862526)"
Kittlitz Park,53.4699336155687,-113.385035272063,"(53.4699336155687, -113.385035272063)"
William Hawrelak Park,53.5270234276661,-113.543955397904,"(53.5270234276661, -113.543955397904)"
Wellington Park Playground,53.5965864255591,-113.550727271049,"(53.5965864255591, -113.550727271049)"
Donnan Park/Arena,53.5155466844324,-113.469053949494,"(53.5155466844324, -113.469053949494)"
Idylwylde Park,53.5232868608233,-113.451563103172,"(53.5232868608233, -113.451563103172)"
Rosslyn Playground,53.5940022283468,-113.512077482597,"(53.5940022283468, -113.512077482597)"
Mount Royal,53.5673895653233,-113.424240185928,"(53.5673895653233, -113.424240185928)"
Ozerna Park,53.62085846429,-113.448621647163,"(53.62085846429, -113.448621647163)"
Mayliewan (St John Bosco School) Park,53.6222463676142,-113.459055356794,"(53.6222463676142, -113.459055356794)"
Silverberry Park,53.4577975995974,-113.384491282277,"(53.4577975995974, -113.384491282277)"
Brookside School,53.491246558577,-113.568701684807,"(53.491246558577, -113.568701684807)"
Weinlos School,53.4612134072671,-113.415757009031,"(53.4612134072671, -113.415757009031)"
Glastonbury Park (The Grange),53.5066706731918,-113.667579936397,"(53.5066706731918, -113.667579936397)"
Calder School Playground,53.5890426973643,-113.526361602562,"(53.5890426973643, -113.526361602562)"
Brittania Youngstown Community League,53.5483924449901,-113.597820947238,"(53.5483924449901, -113.597820947238)"
Richfield Tot Lot,53.4729948848007,-113.457498323752,"(53.4729948848007, -113.457498323752)"
Alex Taylor,53.5466180286308,-113.47633310565,"(53.5466180286308, -113.47633310565)"
Klarvatten,53.6331284414331,-113.475356453743,"(53.6331284414331, -113.475356453743)"
McKernan School,53.5138150840613,-113.523300777634,"(53.5138150840613, -113.523300777634)"
Eastwood School,53.5748536510118,-113.464877931517,"(53.5748536510118, -113.464877931517)"
Rideau School,53.4780144402258,-113.504990305164,"(53.4780144402258, -113.504990305164)"
Richard Secord,53.4773955885055,-113.533503690505,"(53.4773955885055, -113.533503690505)"
Windsor Park School,53.5236150033059,-113.535984644622,"(53.5236150033059, -113.535984644622)"
Prog. Academy,53.5500821804985,-113.550125881174,"(53.5500821804985, -113.550125881174)"
Dechene Playground,53.4914292960343,-113.637013345037,"(53.4914292960343, -113.637013345037)"
Kameyosek School,53.4612386507858,-113.443343852404,"(53.4612386507858, -113.443343852404)"
Duncan Innes Park,53.5163099639391,-113.452552192373,"(53.5163099639391, -113.452552192373)"
St Catherine,53.5559102128569,-113.509512058062,"(53.5559102128569, -113.509512058062)"
Horsehill School/Playground,53.6572023408501,-113.342963567022,"(53.6572023408501, -113.342963567022)"
Parkdale School,53.5676648446836,-113.472189653034,"(53.5676648446836, -113.472189653034)"
Afton School,53.5267837166711,-113.608844198529,"(53.5267837166711, -113.608844198529)"
Allendale School,53.5009729847977,-113.502439703183,"(53.5009729847977, -113.502439703183)"
Terwillegar South,53.4427067921882,-113.587151471417,"(53.4427067921882, -113.587151471417)"
Glenora,53.5441279793747,-113.555319289816,"(53.5441279793747, -113.555319289816)"
Miller Park,53.6124340128389,-113.415915729177,"(53.6124340128389, -113.415915729177)"
Glengarry School,53.5955542851115,-113.484685432495,"(53.5955542851115, -113.484685432495)"
Kildare Park,53.6055673154672,-113.456314343609,"(53.6055673154672, -113.456314343609)"
McQueen Community League,53.5541398224469,-113.570281894193,"(53.5541398224469, -113.570281894193)"
York Community League/Steele Heights,53.6020690949279,-113.433407501859,"(53.6020690949279, -113.433407501859)"
Brightview Community League,53.5484829591141,-113.587363404294,"(53.5484829591141, -113.587363404294)"
Dovercourt,53.57415896213,-113.562105753001,"(53.57415896213, -113.562105753001)"
Westridge Playground,53.5065108306924,-113.605211636355,"(53.5065108306924, -113.605211636355)"
Jackie Parker Park,53.4844571063259,-113.424477326676,"(53.4844571063259, -113.424477326676)"
Mayfield Community League Playground,53.5552375293965,-113.595546200415,"(53.5552375293965, -113.595546200415)"
Calder Community League Playground,53.5863156178308,-113.528280010116,"(53.5863156178308, -113.528280010116)"
Allendale School,53.5007319860412,-113.502883651724,"(53.5007319860412, -113.502883651724)"
Ambleside,53.4330990982809,-113.603969528196,"(53.4330990982809, -113.603969528196)"
Kiniski Gardens School,53.4778012061106,-113.404160973924,"(53.4778012061106, -113.404160973924)"
Touchdown Pk,53.5873827120228,-113.537616817331,"(53.5873827120228, -113.537616817331)"
Michaels Park,53.4797033599093,-113.448073803619,"(53.4797033599093, -113.448073803619)"
McKee School,53.4874600764209,-113.509933444018,"(53.4874600764209, -113.509933444018)"
Rosslyn Playground,53.594135667659,-113.512245758105,"(53.594135667659, -113.512245758105)"
Youngstown,53.5461052893017,-113.603906462694,"(53.5461052893017, -113.603906462694)"
Father Lacombe,53.5907843154126,-113.506354955474,"(53.5907843154126, -113.506354955474)"
Strathcona Communuty League,53.5225504689564,-113.492842102568,"(53.5225504689564, -113.492842102568)"
Rutherford Park,53.4200419881636,-113.534371648748,"(53.4200419881636, -113.534371648748)"
Parkview Playground,53.5254048167694,-113.569512455699,"(53.5254048167694, -113.569512455699)"
Killarney Park,53.5906228171205,-113.475012922458,"(53.5906228171205, -113.475012922458)"
Charles Simmonds Park,53.5153169010448,-113.530810531024,"(53.5153169010448, -113.530810531024)"
Parkview,53.526000849385,-113.567654237895,"(53.526000849385, -113.567654237895)"
Bannerman Park,53.6041719012862,-113.378781901601,"(53.6041719012862, -113.378781901601)"
Rundle Park,53.5551604125867,-113.386348432921,"(53.5551604125867, -113.386348432921)"
Blackburne,53.4294385085073,-113.499436684777,"(53.4294385085073, -113.499436684777)"
McKernan School,53.5137149812771,-113.52356568402,"(53.5137149812771, -113.52356568402)"
Ecole Ste. Jeanne D'Arc,53.5208102026871,-113.430429378373,"(53.5208102026871, -113.430429378373)"
Ekota School,53.4501258885079,-113.442054312098,"(53.4501258885079, -113.442054312098)"
Lorelei Playground,53.6231419400184,-113.501693447779,"(53.6231419400184, -113.501693447779)"
Mayliewan (St John Bosco School) Park,53.6221849199772,-113.459296009119,"(53.6221849199772, -113.459296009119)"
Delton Community League,53.5797213376235,-113.475625586304,"(53.5797213376235, -113.475625586304)"
Castle Downs Park,53.6168314299709,-113.52553329987,"(53.6168314299709, -113.52553329987)"
Hardisty,53.5481861383624,-113.429560667638,"(53.5481861383624, -113.429560667638)"
Terrace Heights School,53.5394522648329,-113.435396991833,"(53.5394522648329, -113.435396991833)"
Lago Lindo,53.6347896734116,-113.487443061588,"(53.6347896734116, -113.487443061588)"
MacEwan,53.4294611903819,-113.530178339281,"(53.4294611903819, -113.530178339281)"
Miller Park,53.6128305922273,-113.416081713255,"(53.6128305922273, -113.416081713255)"
Sheriff Robertson Park,53.559238435524,-113.466021441531,"(53.559238435524, -113.466021441531)"
Kinross-Kerr Park,53.4759480750935,-113.596586385057,"(53.4759480750935, -113.596586385057)"
Fulton Place Community League,53.5462796645323,-113.425956157279,"(53.5462796645323, -113.425956157279)"
Hairsine Community League,53.6037900079176,-113.390787861328,"(53.6037900079176, -113.390787861328)"
Forest Heights Park,53.5510663985172,-113.445389958239,"(53.5510663985172, -113.445389958239)"
Crestwood Plgd,53.5344299849455,-113.570125457317,"(53.5344299849455, -113.570125457317)"
Horsehill School/Playground,53.6572003466656,-113.343206783695,"(53.6572003466656, -113.343206783695)"
High Park Community League Playground,53.5573001767659,-113.588494307722,"(53.5573001767659, -113.588494307722)"
Laurel Park,53.4513924396511,-113.39018453977,"(53.4513924396511, -113.39018453977)"
Ekota School,53.4500594538292,-113.442467894141,"(53.4500594538292, -113.442467894141)"
Alberta Avenue NW,53.5712758533923,-113.48383182566,"(53.5712758533923, -113.48383182566)"
Dunluce,53.6224260076515,-113.52832312601,"(53.6224260076515, -113.52832312601)"
Calder School Playground,53.5886823302845,-113.526451254556,"(53.5886823302845, -113.526451254556)"
Greenfield Sch,53.4725137164023,-113.525809699602,"(53.4725137164023, -113.525809699602)"
Sweetgrass School,53.4630295155769,-113.52901520693,"(53.4630295155769, -113.52901520693)"
Jackie Parker Park,53.4840667428936,-113.421602845873,"(53.4840667428936, -113.421602845873)"
Grace Martin School,53.4690523838274,-113.455334593394,"(53.4690523838274, -113.455334593394)"
Rideau School,53.4785106845509,-113.504728224317,"(53.4785106845509, -113.504728224317)"
Parkallen,53.5036578629529,-113.518982399085,"(53.5036578629529, -113.518982399085)"
Jackie Parker Park,53.4843930753951,-113.423195286564,"(53.4843930753951, -113.423195286564)"
Lendrum/Avalon School,53.4913109840351,-113.523092886068,"(53.4913109840351, -113.523092886068)"
Kernohan,53.5934341023094,-113.383565248013,"(53.5934341023094, -113.383565248013)"
Gordon Drynan Park,53.54611249174,-113.609439601119,"(53.54611249174, -113.609439601119)"
Kildare Park,53.605775730924,-113.456182091095,"(53.605775730924, -113.456182091095)"
Terwillegar Town Residents Assoc Playground,53.4536051711353,-113.584980497127,"(53.4536051711353, -113.584980497127)"
